RGB-Only SLAM Execution Log
Frame 0, Loss: 1.7355, Frame Time: 0.2875s, Running Time: 0.32s, Avg Frame Time: 0.2875s
Frame 630, Loss: 0.0030, Frame Time: 0.2472s, Running Time: 223.59s, Avg Frame Time: 0.2809s
Frame 640, Loss: 0.0023, Frame Time: 0.4564s, Running Time: 227.02s, Avg Frame Time: 0.3189s
Frame 650, Loss: 0.0004, Frame Time: 0.2990s, Running Time: 230.83s, Avg Frame Time: 0.3569s
Frame 660, Loss: 0.0003, Frame Time: 0.2363s, Running Time: 234.85s, Avg Frame Time: 0.3770s
Frame 670, Loss: 0.0005, Frame Time: 0.2392s, Running Time: 238.79s, Avg Frame Time: 0.3684s
Frame 680, Loss: 0.0006, Frame Time: 0.2661s, Running Time: 242.41s, Avg Frame Time: 0.3382s
Frame 690, Loss: 0.0027, Frame Time: 0.2545s, Running Time: 245.39s, Avg Frame Time: 0.2748s
Frame 700, Loss: 0.0012, Frame Time: 0.3097s, Running Time: 248.64s, Avg Frame Time: 0.3008s
Frame 710, Loss: 0.0001, Frame Time: 0.2276s, Running Time: 251.19s, Avg Frame Time: 0.2326s
Frame 720, Loss: 0.0001, Frame Time: 0.2175s, Running Time: 254.08s, Avg Frame Time: 0.2650s
Frame 730, Loss: 0.0004, Frame Time: 0.6315s, Running Time: 257.65s, Avg Frame Time: 0.3362s
Frame 740, Loss: 0.0009, Frame Time: 0.2703s, Running Time: 260.81s, Avg Frame Time: 0.2893s
Frame 750, Loss: 0.0006, Frame Time: 0.2356s, Running Time: 263.46s, Avg Frame Time: 0.2408s
Frame 760, Loss: 0.0001, Frame Time: 0.2200s, Running Time: 265.95s, Avg Frame Time: 0.2273s
Frame 770, Loss: 0.0004, Frame Time: 0.4371s, Running Time: 269.05s, Avg Frame Time: 0.2876s
Frame 780, Loss: 0.0002, Frame Time: 0.2950s, Running Time: 273.29s, Avg Frame Time: 0.3980s
Frame 790, Loss: 0.0002, Frame Time: 0.4136s, Running Time: 276.29s, Avg Frame Time: 0.2770s

Final Stats:
Total runtime: 278.51 seconds
Frames processed: 798
Average frame processing time: 0.3251 seconds
Average forward pass time: 0.1137 seconds
Average backward pass time: 0.2098 seconds
Average optimizer time: 0.0015 seconds
Average data loading time: 0.0232 seconds
